candidate_count,instance_index,instance_seed,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,service_minutes,total_minutes,time_budget,visited_count,feasible,runtime_ms,route
8,1,80043,exact_dynamic_programming,18.6573,18.6573,0.0,45.1396,38.0,83.1396,90.0,3,True,0.3628,0 -> 8 -> 4 -> 1 -> 9
8,1,80043,greedy_reward_per_minute,12.9301,18.6573,30.6968,59.3157,22.0,81.3157,90.0,2,True,0.0158,0 -> 1 -> 5 -> 9
8,1,80043,nearest,15.314,18.6573,17.9195,44.5343,45.0,89.5343,90.0,3,True,0.013,0 -> 6 -> 7 -> 8 -> 9
8,2,80044,exact_dynamic_programming,24.0531,24.0531,0.0,33.79,45.0,78.79,90.0,4,True,0.388,0 -> 2 -> 5 -> 8 -> 6 -> 9
8,2,80044,greedy_reward_per_minute,18.6706,24.0531,22.3776,49.7082,35.0,84.7082,90.0,3,True,0.0175,0 -> 6 -> 8 -> 3 -> 9
8,2,80044,nearest,20.6398,24.0531,14.1907,34.2124,52.0,86.2124,90.0,4,True,0.0139,0 -> 2 -> 5 -> 8 -> 3 -> 9
8,3,80045,exact_dynamic_programming,22.2593,22.2593,0.0,48.9627,32.0,80.9627,90.0,3,True,0.372,0 -> 3 -> 2 -> 6 -> 9
8,3,80045,greedy_reward_per_minute,22.2593,22.2593,0.0,48.9627,32.0,80.9627,90.0,3,True,0.0191,0 -> 3 -> 2 -> 6 -> 9
8,3,80045,nearest,18.5328,22.2593,16.7413,44.985,40.0,84.985,90.0,3,True,0.0123,0 -> 5 -> 2 -> 6 -> 9
8,4,80046,exact_dynamic_programming,16.3835,16.3835,0.0,54.5978,33.0,87.5978,90.0,3,True,0.3565,0 -> 2 -> 7 -> 3 -> 9
8,4,80046,greedy_reward_per_minute,11.2807,16.3835,31.146,49.0751,40.0,89.0751,90.0,3,True,0.0169,0 -> 3 -> 7 -> 5 -> 9
8,4,80046,nearest,11.3732,16.3835,30.5814,35.9583,51.0,86.9583,90.0,3,True,0.0119,0 -> 4 -> 8 -> 5 -> 9
8,5,80047,exact_dynamic_programming,22.3178,22.3178,0.0,39.4227,42.0,81.4227,90.0,3,True,0.3686,0 -> 2 -> 4 -> 6 -> 9
8,5,80047,greedy_reward_per_minute,18.0411,22.3178,19.1627,39.1674,30.0,69.1674,90.0,2,True,0.0169,0 -> 2 -> 6 -> 9
8,5,80047,nearest,10.548,22.3178,52.7373,35.1566,48.0,83.1566,90.0,3,True,0.0123,0 -> 7 -> 3 -> 4 -> 9
8,6,80048,exact_dynamic_programming,19.6099,19.6099,0.0,52.2873,31.0,83.2873,90.0,3,True,0.3343,0 -> 4 -> 2 -> 6 -> 9
8,6,80048,greedy_reward_per_minute,13.9298,19.6099,28.9655,48.2032,16.0,64.2032,90.0,2,True,0.0153,0 -> 6 -> 2 -> 9
8,6,80048,nearest,11.3131,19.6099,42.3092,55.5517,28.0,83.5517,90.0,2,True,0.0103,0 -> 8 -> 1 -> 9
