scenario_index,start,destination,preference,time_budget,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,study_minutes,total_minutes,visited_count,feasible,study_plan,deadline_slack_minutes,direct_travel_minutes,walking_detour_minutes,walking_detour_percent,runtime_ms,runtime_mean_ms,runtime_p95_ms,runtime_std_ms,timing_repeats,order_seed,route
7,Rodin College House,Towne Building,Coffee nearby,45.0,exact_dynamic_programming,10.6,10.6,0.0,13.4487,20.0,33.4487,1,True,True,11.5513,11.5978,1.8509,15.9591,0.0713,0.0719,0.078,0.0022,10,2026,Rodin College House -> Houston Hall -> Towne Building
7,Rodin College House,Towne Building,Coffee nearby,45.0,greedy_reward_per_minute,10.6,10.6,0.0,13.4487,20.0,33.4487,1,True,True,11.5513,11.5978,1.8509,15.9591,0.0084,0.0085,0.0089,0.0002,10,2026,Rodin College House -> Houston Hall -> Towne Building
7,Rodin College House,Towne Building,Coffee nearby,45.0,nearest,8.8,10.6,16.9811,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0065,0.0066,0.0069,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
8,Rodin College House,Towne Building,Coffee nearby,60.0,exact_dynamic_programming,19.4,19.4,0.0,15.6532,40.0,55.6532,2,True,True,4.3468,11.5978,4.0554,34.967,0.08,0.0809,0.0886,0.0028,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Towne Building
8,Rodin College House,Towne Building,Coffee nearby,60.0,greedy_reward_per_minute,17.6,19.4,9.2784,15.8893,40.0,55.8893,2,True,True,4.1107,11.5978,4.2915,37.0027,0.0107,0.0106,0.011,0.0002,10,2026,Rodin College House -> Houston Hall -> Levine Hall -> Towne Building
8,Rodin College House,Towne Building,Coffee nearby,60.0,nearest,15.8,19.4,18.5567,13.4157,45.0,58.4157,2,True,True,1.5843,11.5978,1.8179,15.6745,0.0084,0.0085,0.0091,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Towne Building
9,Rodin College House,Towne Building,Coffee nearby,90.0,exact_dynamic_programming,26.4,26.4,0.0,18.0938,60.0,78.0938,3,True,True,11.9062,11.5978,6.496,56.0106,0.1304,0.1309,0.1366,0.0021,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Levine Hall -> Towne Building
9,Rodin College House,Towne Building,Coffee nearby,90.0,greedy_reward_per_minute,24.6,26.4,6.8182,21.5777,65.0,86.5777,3,True,True,3.4223,11.5978,9.9799,86.0499,0.014,0.014,0.0144,0.0003,10,2026,Rodin College House -> Houston Hall -> Levine Hall -> Van Pelt Library -> Towne Building
9,Rodin College House,Towne Building,Coffee nearby,90.0,nearest,20.6,26.4,21.9697,14.456,70.0,84.456,3,True,True,5.544,11.5978,2.8582,24.6443,0.0099,0.01,0.0105,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Towne Building
10,Rodin College House,Towne Building,Power outlets,45.0,exact_dynamic_programming,11.0,11.0,0.0,14.0121,20.0,34.0121,1,True,True,10.9879,11.5978,2.4143,20.8169,0.0724,0.0722,0.0734,0.0008,10,2026,Rodin College House -> Levine Hall -> Towne Building
10,Rodin College House,Towne Building,Power outlets,45.0,greedy_reward_per_minute,11.0,11.0,0.0,14.0121,20.0,34.0121,1,True,True,10.9879,11.5978,2.4143,20.8169,0.0086,0.0087,0.0091,0.0002,10,2026,Rodin College House -> Levine Hall -> Towne Building
10,Rodin College House,Towne Building,Power outlets,45.0,nearest,8.8,11.0,20.0,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0072,0.0073,0.0077,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
11,Rodin College House,Towne Building,Power outlets,60.0,exact_dynamic_programming,22.0,22.0,0.0,14.4663,45.0,59.4663,2,True,True,0.5337,11.5978,2.8685,24.7331,0.0804,0.0806,0.0822,0.0007,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Towne Building
11,Rodin College House,Towne Building,Power outlets,60.0,greedy_reward_per_minute,11.0,22.0,50.0,14.0121,20.0,34.0121,1,True,True,25.9879,11.5978,2.4143,20.8169,0.0085,0.0086,0.009,0.0002,10,2026,Rodin College House -> Levine Hall -> Towne Building
11,Rodin College House,Towne Building,Power outlets,60.0,nearest,19.8,22.0,10.0,13.4157,45.0,58.4157,2,True,True,1.5843,11.5978,1.8179,15.6745,0.0086,0.0085,0.0089,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Towne Building
12,Rodin College House,Towne Building,Power outlets,90.0,exact_dynamic_programming,33.0,33.0,0.0,19.0001,70.0,89.0001,3,True,True,0.9999,11.5978,7.4023,63.825,0.131,0.1312,0.1352,0.0018,10,2026,Rodin College House -> Holman Biotech Commons -> Van Pelt Library -> Levine Hall -> Towne Building
12,Rodin College House,Towne Building,Power outlets,90.0,greedy_reward_per_minute,28.6,33.0,13.3333,22.7802,65.0,87.7802,3,True,True,2.2198,11.5978,11.1824,96.4183,0.0151,0.0152,0.0159,0.0003,10,2026,Rodin College House -> Levine Hall -> Van Pelt Library -> Houston Hall -> Towne Building
12,Rodin College House,Towne Building,Power outlets,90.0,nearest,28.6,33.0,13.3333,14.456,70.0,84.456,3,True,True,5.544,11.5978,2.8582,24.6443,0.0106,0.0106,0.0113,0.0005,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Towne Building
13,Rodin College House,Towne Building,No preference,45.0,exact_dynamic_programming,9.0,9.0,0.0,12.2923,25.0,37.2923,1,True,True,7.7077,11.5978,0.6945,5.9882,0.0721,0.072,0.0731,0.0007,10,2026,Rodin College House -> Van Pelt Library -> Towne Building
13,Rodin College House,Towne Building,No preference,45.0,greedy_reward_per_minute,8.3,9.0,7.7778,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0085,0.0085,0.009,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
13,Rodin College House,Towne Building,No preference,45.0,nearest,8.3,9.0,7.7778,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0066,0.0066,0.0068,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
14,Rodin College House,Towne Building,No preference,60.0,exact_dynamic_programming,17.5,17.5,0.0,14.4663,45.0,59.4663,2,True,True,0.5337,11.5978,2.8685,24.7331,0.0798,0.0806,0.0876,0.0025,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Towne Building
14,Rodin College House,Towne Building,No preference,60.0,greedy_reward_per_minute,16.8,17.5,4.0,14.5412,40.0,54.5412,2,True,True,5.4588,11.5978,2.9434,25.379,0.0114,0.0114,0.0117,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Levine Hall -> Towne Building
14,Rodin College House,Towne Building,No preference,60.0,nearest,17.3,17.5,1.1429,13.4157,45.0,58.4157,2,True,True,1.5843,11.5978,1.8179,15.6745,0.0083,0.0083,0.0088,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Towne Building
15,Rodin College House,Towne Building,No preference,90.0,exact_dynamic_programming,26.5,26.5,0.0,19.0001,70.0,89.0001,3,True,True,0.9999,11.5978,7.4023,63.825,0.1327,0.1331,0.1364,0.0014,10,2026,Rodin College House -> Holman Biotech Commons -> Van Pelt Library -> Levine Hall -> Towne Building
15,Rodin College House,Towne Building,No preference,90.0,greedy_reward_per_minute,24.9,26.5,6.0377,21.088,60.0,81.088,3,True,True,8.912,11.5978,9.4902,81.8276,0.0145,0.0145,0.0151,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Levine Hall -> Houston Hall -> Towne Building
15,Rodin College House,Towne Building,No preference,90.0,nearest,24.6,26.5,7.1698,14.456,70.0,84.456,3,True,True,5.544,11.5978,2.8582,24.6443,0.01,0.01,0.0103,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Towne Building
16,Rodin College House,Moore School Building,Quiet,45.0,exact_dynamic_programming,11.0,11.0,0.0,12.7198,25.0,37.7198,1,True,True,7.2802,12.2657,0.4541,3.7022,0.1436,0.1445,0.1519,0.0026,10,2026,Rodin College House -> Van Pelt Library -> Moore School Building
16,Rodin College House,Moore School Building,Quiet,45.0,greedy_reward_per_minute,11.0,11.0,0.0,12.7198,25.0,37.7198,1,True,True,7.2802,12.2657,0.4541,3.7022,0.0092,0.0093,0.0097,0.0002,10,2026,Rodin College House -> Van Pelt Library -> Moore School Building
16,Rodin College House,Moore School Building,Quiet,45.0,nearest,4.8,11.0,56.3636,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.0071,0.0071,0.0075,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
17,Rodin College House,Moore School Building,Quiet,60.0,exact_dynamic_programming,18.0,18.0,0.0,13.9683,45.0,58.9683,2,True,True,1.0317,12.2657,1.7026,13.881,0.1593,0.1597,0.1631,0.0014,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Moore School Building
17,Rodin College House,Moore School Building,Quiet,60.0,greedy_reward_per_minute,18.0,18.0,0.0,13.9683,45.0,58.9683,2,True,True,1.0317,12.2657,1.7026,13.881,0.0116,0.0116,0.0118,0.0001,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Moore School Building
17,Rodin College House,Moore School Building,Quiet,60.0,nearest,15.8,18.0,12.2222,13.8432,45.0,58.8432,2,True,True,1.1568,12.2657,1.5775,12.8611,0.009,0.009,0.0092,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Moore School Building
18,Rodin College House,Moore School Building,Quiet,90.0,exact_dynamic_programming,28.8,28.8,0.0,15.2752,70.0,85.2752,3,True,True,4.7248,12.2657,3.0095,24.5359,0.247,0.2475,0.2509,0.0021,10,2026,Rodin College House -> Van Pelt Library -> Fisher Fine Arts Library -> Levine Hall -> Moore School Building
